title,artist,points,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Feelin’ Myself,Mac Dre,4,2004,0.831,0.573,0,-6.515,0,0.0593,0.0435,5.22e-5,0.26,0.674,99.98
Fight Da Faida,Frankie HI-NRG MC,4,1993,0.824,0.899,7,-6.713,1,0.146,0.0425,0,0.0668,0.577,106.068
Get By,Talib Kweli,4,2002,0.662,0.928,2,-4.688,1,0.377,0.00324,0,0.17,0.775,90.509
Goosebumps,Travis Scott ft. Kendrick Lamar,4,2016,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049
Gossip,Lil Wayne,4,2007,0.433,0.734,9,-6.983,1,0.516,0.0502,0,0.0756,0.289,81.323
Grief,Earl Sweatshirt,4,2015,0.645,0.589,8,-6.171,1,0.173,0.479,0.158,0.0924,0.616,89.971
Ha,Juvenile,4,2008,0.728,0.334,3,-10.605,1,0.0332,0.462,7.81e-6,0.115,0.401,118.034
Have a Nice Day,Roxanne Shante,4,1989,0.947,0.758,10,-11.84,0,0.312,0.253,0.00135,0.0496,0.529,100.966
Hold You Down,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,4,2004,0.756,0.672,1,-8.603,1,0.268,0.178,0,0.134,0.532,90.848
Hovi Baby,JAY-Z,4,2002,0.531,0.935,1,-3.926,1,0.325,0.00514,0,0.104,0.476,88.066
I Like That,Janelle Monae,4,2018,0.482,0.453,0,-8.864,1,0.059,0.0323,0.00243,0.149,0.17,134.799
I Luv U,Dizzee Rascal,4,2003,0.736,0.914,7,-3.707,1,0.285,0.318,0,0.0447,0.932,136.068
I Used To Love Him,Lauryn Hill ft. Mary J Blige,4,1998,0.486,0.797,9,-7.632,0,0.231,0.06,0,0.331,0.745,87.445
I Wonder,Kanye West,4,2007,0.542,0.466,0,-8.665,1,0.0831,0.141,4.45e-4,0.125,0.124,191.385
I've Seen Footage,Death Grips,4,2012,0.603,0.944,11,-3.626,0,0.347,0.0481,0,0.342,0.418,130.035
It’s All About The Benjamins (Remix),Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,4,1997,0.856,0.696,6,-3.51,1,0.226,0.0405,8.75e-6,0.0901,0.718,89.738
Keep It On The Real,3X Krazy,4,1997,0.719,0.686,10,-4.169,0,0.0829,0.0165,0,0.236,0.49,95.19
Kyoto,Yung Lean,4,2013,0.623,0.716,11,-7.449,0,0.207,0.22,2.54e-6,0.113,0.203,116.914
La Di Da Di,Doug E Fresh,4,1985,0.649,0.967,6,-6.995,0,0.45,0.688,0,0.986,0.586,89.453
La La La,Lil Wayne,4,2007,0.698,0.66,0,-7.883,1,0.052,0.0226,0,0.0622,0.451,159.949
Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,4,2002,0.618,0.413,5,-9.311,0,0.398,0.134,3.38e-4,0.0913,0.462,87.412
Love Yourz,J Cole,4,2014,0.502,0.623,8,-8.812,1,0.441,0.609,0,0.119,0.399,75.555
My Name Is,Eminem,4,1999,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-6,0.0914,0.815,85.519
Oh Yeah,Foxy Brown,4,2001,0.618,0.691,10,-7.041,0,0.308,0.00452,3.19e-6,0.0614,0.763,170.445
Ojuelegba,Wizkid ft. Drake & Skepta,4,2015,0.644,0.748,9,-5.862,0,0.0349,0.146,3.46e-4,0.203,0.901,100.037
One Day,UGK,4,1996,0.813,0.544,4,-9.816,1,0.232,0.224,0,0.134,0.699,146.073
Play That Beat Mr. D.J.,G.L.O.B.E.,4,2001,0.893,0.885,1,-4.837,1,0.0952,0.0468,0.00559,0.114,0.966,114.28
Puppet Master,Dr Dre ft. B-Real,4,1997,0.654,0.491,5,-11.671,0,0.431,0.0395,6.26e-4,0.706,0.458,177.434
Quiet Storm (Remix ft. Lil Kim),Mobb Deep,4,1999,0.811,0.769,9,-8.59,1,0.397,0.364,0,0.0971,0.435,97.544
Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,4,1999,0.811,0.769,9,-8.59,1,0.397,0.364,0,0.0971,0.435,97.544
Renegade,JAY-Z ft. Eminem,4,2001,0.764,0.724,1,-4.748,0,0.368,0.441,1.27e-6,0.177,0.826,84.797
Respiration,Black Star ft. Common,4,1998,0.54,0.738,6,-5.34,0,0.446,0.272,0,0.199,0.528,178.727
Sim Dope,AKA,4,2014,0.76,0.837,8,-4.78,1,0.16,0.592,0,0.26,0.577,140.11
Sippin On Some Syrup,Three 6 Mafia ft. UGK,4,2000,0.944,0.839,11,-4.141,1,0.108,0.00919,0,0.0921,0.892,136.019
Sky’s The Limit,The Notorious B.I.G ft. 112,4,1997,0.637,0.66,0,-4.792,1,0.162,0.217,0,0.09,0.503,90.876
Slow It Down,Little Brother,4,2005,0.507,0.852,6,-7.467,0,0.354,0.155,0,0.612,0.705,90.159
So What’cha Want,Beastie Boys,4,1992,0.695,0.978,5,-3.556,0,0.274,0.0764,3.12e-5,0.069,0.706,171.093
Sock It 2 Me,Missy Elliott ft. Da Brat,4,1997,0.874,0.498,8,-9.108,1,0.233,0.00791,0.00375,0.102,0.599,81.998
Swangin’ and Bangin',E.S.G.,4,1993,0.736,0.525,1,-12.08,1,0.0906,0.0217,0,0.189,0.645,150.275
Tha Crossroads,Bone Thugs-N-Harmony,4,1996,0.679,0.509,4,-7.31,1,0.0617,0.0856,0,0.438,0.534,144.29
Tried by 12,East Flatbush Project,4,1996,0.853,0.695,8,-13.208,0,0.35,0.503,5.45e-5,0.479,0.606,89.007
Who Am I (What’s My Name)?,Snoop Dogg,4,1993,0.692,0.833,7,-3.974,1,0.0492,1.36e-4,1.98e-5,0.515,0.692,96.814
All Caps,Madvillain,2,2004,0.358,0.889,1,-8.045,1,0.336,0.266,1.48e-5,0.172,0.665,85.619
All Falls Down,Kanye West ft. Syleena Johnson,2,2004,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03
B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,2,1995,0.509,0.816,1,-8.824,0,0.366,0.25,0,0.342,0.561,181.804
Bible On The Dash,Gunplay,2,2012,0.707,0.614,9,-7.933,1,0.282,0.0997,0,0.0912,0.563,139.97
Big Pimpin',JAY-Z ft. UGK,2,1999,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083
Bitch Don’t Kill My Vibe,Kendrick Lamar,2,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0,0.442,0.0985,133.954
Clear Blue Skies,Juggaknots,2,1996,0.671,0.44,1,-11.731,0,0.0453,0.0556,0.211,0.195,0.32,81.631
Concrete Schoolyard,Jurassic 5,2,1998,0.894,0.625,10,-7.339,0,0.354,0.142,0,0.387,0.809,90.121
Da Art of Storytellin’ (Pt. 2),OutKast,2,1998,0.719,0.925,10,-5.235,0,0.159,5.97e-4,0.00538,0.0624,0.263,92.842
Da Mystery Of Chessboxin',Wu-Tan Clan,2,1993,0.925,0.388,2,-10.508,1,0.419,0.334,0,0.332,0.359,105.056
Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,2,1998,0.861,0.622,1,-7.493,1,0.379,0.0816,0,0.123,0.664,96.911
Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,2,2003,0.699,0.696,0,-5.745,1,0.191,0.103,0,0.211,0.428,83.596
DNA,Kendrick Lamar,2,2017,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913
Fuck Tha World,Lil Wayne,2,1999,0.561,0.763,8,-6.328,0,0.322,0.0846,0,0.0622,0.78,82.158
Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,2,1993,0.57,0.483,7,-6.276,0,0.03,0.411,0.00201,0.265,0.478,91.959
God’s Plan,Drake,2,2018,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-5,0.552,0.357,77.169
Gold Digger,Kanye West ft. Jamie Foxx,2,2005,0.631,0.696,1,-5.572,0,0.348,0.0192,0,0.0554,0.621,92.941
Gucci Gucci,Kreayshawn,2,2011,0.712,0.924,10,-2.802,0,0.0683,0.165,1.77e-5,0.906,0.901,77.508
Heart Of The City (Ain’t No Love),JAY-Z,2,2001,0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027
HYFR,Drake ft. Lil Wayne,2,2011,0.444,0.627,7,-8.744,0,0.252,0.123,0,0.0795,0.359,98.21
I Used To Love H.E.R.,Common,2,1994,0.74,0.445,1,-13.222,1,0.397,0.074,3.4e-5,0.424,0.593,91.745
Insane In The Brain,Cypress Hill,2,1993,0.897,0.612,11,-10.489,1,0.211,0.0297,0.186,0.0894,0.767,102.305
It Was A Good Day - Remix,Ice Cube,2,1994,0.477,0.555,6,-9.757,0,0.0523,0.149,0.367,0.45,0.715,159.431
It’s Your World (Part 1 & 2),Common,2,2005,0.459,0.469,5,-12.6,1,0.283,0.119,0,0.356,0.504,88.738
L'Americano,Akhenaton,2,1995,0.82,0.694,2,-7.463,1,0.2,0.107,0.391,0.191,0.412,90.066
Look At Me!,XXXTENTACION,2,2015,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059
Looking At The Front Door,Main Source,2,1990,0.788,0.446,7,-18.193,1,0.188,0.00655,1.28e-4,0.0713,0.783,105.382
Lost In The World,Kanye West ft. Bon Iver,2,2010,0.609,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072
Love Again (Akinyele Back),Run The Jewels ft. Gangsta Boo,2,2014,0.789,0.678,1,-8.045,1,0.303,0.135,0,0.0738,0.554,145.961
Love Sosa,Chief Keef,2,2012,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965
March Madness,Future,2,2015,0.406,0.661,8,-5.142,1,0.311,0.173,0,0.101,0.335,180.206
Mortal Man,Kendrick Lamar,2,2015,0.567,0.525,10,-9.043,0,0.75,0.665,0,0.708,0.416,86.935
Mtaktak,Shabjdeed Al Nather,2,2019,0.821,0.585,6,-7.429,0,0.183,0.778,0.00474,0.107,0.48,139.807
Ngqangqa,Kanyi,2,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nice For What,Drake,2,2018,0.586,0.909,8,-6.474,1,0.0705,0.0891,1.09e-4,0.119,0.757,93.394
No Diggity,Blackstreet ft. Dr Dre and Queen Pen,2,1996,0.868,0.646,1,-4.674,0,0.288,0.303,0,0.284,0.67,88.641
O.P.P.,Naughty By Nature,2,1991,0.848,0.838,4,-11.949,0,0.0723,0.0326,4.63e-6,0.124,0.774,97.735
Pacifier,Young Thug,2,2015,0.766,0.82,2,-5.851,1,0.124,0.0469,0,0.336,0.376,117.012
Paid In Full (Seven Minutes Of Madness – The Coldcut Remix),Eric B & Rakim,2,1987,0.812,0.698,4,-8.887,0,0.126,0.00198,0.0869,0.33,0.291,98.211
Pass That Dutch,Missy Elliott,2,2003,0.899,0.645,10,-11.621,0,0.271,0.0435,0.101,0.358,0.348,110.895
Realer,Megan Thee Stallion,2,2019,0.934,0.631,1,-3.834,1,0.317,0.127,0,0.0955,0.437,117.064
Regrets,JAY-Z,2,1996,0.722,0.674,4,-7.918,1,0.341,0.377,0,0.219,0.693,80.885
Rock Wit U,Joe ft. G-Unit,2,2003,0.743,0.849,9,-7.825,1,0.0325,0.0782,3.28e-6,0.162,0.92,116.49
Root Down,Beastie Boys,2,1994,0.819,0.777,0,-6.335,1,0.0876,0.252,0.0409,0.112,0.694,99.986
Scotty,D4L,2,2005,0.622,0.318,0,-7.707,1,0.434,0.00978,0,0.273,0.524,90.985
Shinjitsu No Dangan,King Giddra,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoop,Salt-N-Pepa,2,1993,0.939,0.675,0,-7.232,1,0.211,0.0915,0,0.0565,0.795,96.918
Still Fly,Big Tymers,2,2002,0.675,0.607,11,-3.538,1,0.161,0.0302,8.67e-6,0.339,0.56,177.928
The Breaks,Kurtis Blow,2,1980,0.818,0.67,11,-13.912,0,0.0757,0.122,0.00156,0.31,0.917,112.704
Throw Some D’s,Rich Boy,2,2007,0.697,0.86,11,-5.181,1,0.43,0.0368,0,0.0721,0.433,160.895
Time’s Up,O.C.,2,1994,0.664,0.621,2,-6.521,1,0.0671,0.162,0.0694,0.353,0.489,89.566
Turn On The Lights,Future,2,2012,0.596,0.574,6,-9.373,0,0.212,0.0409,0,0.147,0.439,131.075
Warning,The Notorious B.I.G.,2,1994,0.594,0.785,6,-7.598,0,0.461,0.356,2.18e-5,0.139,0.426,171.755
Who Dat,J.T. Money ft. Solé,2,1999,0.806,0.823,11,-5.558,0,0.245,0.00519,0,0.299,0.441,86.981
Wipe Me Down (Remix),Foxx & Lil Boosie & Webbie,2,2006,0.836,0.906,1,-2.902,1,0.279,4.26e-4,0,0.227,0.718,165.091
